Temperatura   , dT           , Intensitat   , dI           , Tensió          , dV
19.7020740509 , 0.0522190630 , 5.8472614288 , 0.0049999999 , 4532.8461914063 , 7.9815149307
19.6550216675 , 0.0383276679 , 5.8447084427 , 0.0049999999 , 4524.3369140625 , 6.2733259201
19.5483741760 , 0.0395637155 , 5.8441205025 , 0.0049999999 , 4508.3354492188 , 6.4073967934
19.7020740509 , 0.0318972878 , 5.8388295174 , 0.0049999999 , 4532.1733398438 , 8.1707429886
19.7478675842 , 0.0361852944 , 5.8493299484 , 0.0049999999 , 4531.9096679688 , 8.1522512436
19.5954246521 , 0.0376903266 , 5.8396105766 , 0.0049999999 , 4518.6616210938 , 6.6065125465
19.5973052979 , 0.0350251794 , 5.8386774063 , 0.0049999999 , 4511.7475585938 , 6.4562325478
19.5866432190 , 0.0361681208 , 5.8471174240 , 0.0049999999 , 4511.3334960938 , 6.4517850876
19.5502567291 , 0.0398453102 , 5.8414049149 , 0.0049999999 , 4510.7070312500 , 6.2279505730
19.6826248169 , 0.0379939899 , 5.8360190392 , 0.0049999999 , 4533.0444335938 , 7.5281457901
19.6387119293 , 0.0517890714 , 5.8514404297 , 0.0049999999 , 4516.1010742188 , 6.0002837181
19.6650619507 , 0.0325335599 , 5.8432192802 , 0.0049999999 , 4518.1982421875 , 7.2441396713
19.6794891357 , 0.0412093811 , 5.8316688538 , 0.0049999999 , 4528.8017578125 , 7.7566113472
19.5333175659 , 0.0341905914 , 5.8321409225 , 0.0049999999 , 4517.9423828125 , 6.2073955536
19.7146186829 , 0.0441773757 , 5.8300013542 , 0.0049999999 , 4522.4326171875 , 6.4682612419
19.7070922852 , 0.0368739516 , 5.8355236053 , 0.0049999999 , 4522.3286132813 , 5.4966711998
19.6456127167 , 0.0486090407 , 5.8252315521 , 0.0049999999 , 4508.4145507813 , 6.8081183434
19.6732158661 , 0.0363223590 , 5.8333067894 , 0.0049999999 , 4507.2958984375 , 5.3457226753
19.6023273468 , 0.0388667807 , 5.8363008499 , 0.0049999999 , 4518.1816406250 , 6.6307721138
19.5571575165 , 0.0415172242 , 5.8438792229 , 0.0049999999 , 4515.7983398438 , 9.4370231628
19.6274185181 , 0.0596014522 , 5.8527760506 , 0.0049999999 , 4522.9985351563 , 8.4126996994
19.5565299988 , 0.0503107272 , 5.8512592316 , 0.0049999999 , 4512.1347656250 , 8.1578645706
19.6280479431 , 0.0314758271 , 5.8527021408 , 0.0049999999 , 4505.1118164063 , 7.0051236153
19.6493759155 , 0.0381408408 , 5.8554658890 , 0.0049999999 , 4507.6601562500 , 4.9329562187
19.6625518799 , 0.0434758216 , 5.8577094078 , 0.0049999999 , 4508.7612304688 , 6.0326557159
19.6318111420 , 0.0416740179 , 5.8730373383 , 0.0049999999 , 4521.5141601563 , 8.4551525116
19.7372055054 , 0.0449302122 , 5.8697385788 , 0.0049999999 , 4512.1938476563 , 6.5731921196
19.7165012360 , 0.0350694880 , 5.8667697906 , 0.0049999999 , 4518.8173828125 , 5.8364033699
19.6387119293 , 0.0346238576 , 5.8772845268 , 0.0049999999 , 4524.9267578125 , 8.0774688721
19.6500034332 , 0.0479269996 , 5.8763694763 , 0.0049999999 , 4505.4614257813 , 6.8681373596
19.6424751282 , 0.0487621389 , 5.8617482185 , 0.0049999999 , 4512.9213867188 , 6.9342670441
19.7127380371 , 0.0515907966 , 5.8618984222 , 0.0049999999 , 4510.3920898438 , 7.1428260803
19.6123638153 , 0.0315546617 , 5.8592252731 , 0.0049999999 , 4501.7373046875 , 6.8011121750
19.5665664673 , 0.0364589095 , 5.8576736450 , 0.0049999999 , 4504.8300781250 , 7.7243280411
19.5878963470 , 0.0414423496 , 5.8593301773 , 0.0049999999 , 4505.8637695313 , 8.0093975067
19.6443576813 , 0.0543236919 , 5.8727865219 , 0.0049999999 , 4508.6958007813 , 7.8417711258
19.6362018585 , 0.0455412567 , 5.8730535507 , 0.0049999999 , 4519.6943359375 , 9.0197973251
19.7484951019 , 0.0365779735 , 5.8604736328 , 0.0049999999 , 4510.4184570313 , 6.6842336655
19.5809974670 , 0.0528280996 , 5.8705186844 , 0.0049999999 , 4502.7480468750 , 6.0357341766
19.6838798523 , 0.0415620804 , 5.8588027954 , 0.0049999999 , 4515.2338867188 , 6.2991056442
19.7353229523 , 0.0444716588 , 5.8544855118 , 0.0049999999 , 4520.1611328125 , 6.8507041931
19.6738433838 , 0.0548301563 , 5.8514547348 , 0.0049999999 , 4502.1328125000 , 7.5897083282
19.5885238647 , 0.0418302268 , 5.8387150764 , 0.0049999999 , 4504.2016601563 , 7.8729591370
19.7378330231 , 0.0368739516 , 5.8578958511 , 0.0049999999 , 4516.6352539063 , 6.2298965454
19.6004447937 , 0.0444157571 , 5.8539133072 , 0.0049999999 , 4501.4365234375 , 6.4437041283
19.5772323608 , 0.0542321503 , 5.8307933807 , 0.0049999999 , 4496.6738281250 , 6.4382271767
19.6274185181 , 0.0516088530 , 5.8323297501 , 0.0049999999 , 4509.9184570313 , 6.3364734650
19.6054630280 , 0.0513736196 , 5.8289499283 , 0.0049999999 , 4518.4750976563 , 7.8295278549
19.6725883484 , 0.0510947742 , 5.8296937943 , 0.0049999999 , 4505.5371093750 , 6.3279213905
19.6431026459 , 0.0521535985 , 5.8264555931 , 0.0049999999 , 4515.1665039063 , 9.1420917511
19.7252864838 , 0.0340722986 , 5.8218317032 , 0.0049999999 , 4508.0576171875 , 7.7412395477
19.7585353851 , 0.0664696246 , 5.8162055016 , 0.0049999999 , 4507.7597656250 , 6.0471420288
19.6888999939 , 0.0377479643 , 5.7975883484 , 0.0049999999 , 4520.2905273438 , 8.1361846924
19.7685718536 , 0.0472811162 , 5.8030557632 , 0.0049999999 , 4495.9990234375 , 7.2455482483
19.5904064178 , 0.0467061475 , 5.7936902046 , 0.0049999999 , 4512.2338867188 , 9.1296997070
19.6694507599 , 0.0620172136 , 5.7916107178 , 0.0049999999 , 4500.9970703125 , 5.9096937180
19.7208919525 , 0.0564654022 , 5.7909598351 , 0.0049999999 , 4503.7998046875 , 7.2974176407
19.6801166534 , 0.0367051102 , 5.7879323959 , 0.0049999999 , 4508.8730468750 , 5.6430902481
19.6970539093 , 0.0372260213 , 5.7988824844 , 0.0049999999 , 4509.0439453125 , 7.3685140610
19.6230278015 , 0.0529572815 , 5.8106913567 , 0.0049999999 , 4499.8540039063 , 6.2989945412
19.6299304962 , 0.0673284680 , 5.8078885078 , 0.0049999999 , 4506.1582031250 , 6.7755599022
19.6989364624 , 0.0434829630 , 5.8162326813 , 0.0049999999 , 4500.6533203125 , 6.2272338867
19.7516326904 , 0.0466728918 , 5.8110442162 , 0.0049999999 , 4515.9311523438 , 7.1933946609
19.7045841217 , 0.0601512641 , 5.8177299500 , 0.0049999999 , 4503.9233398438 , 8.4848957062
19.7673168182 , 0.0539162569 , 5.8267993927 , 0.0049999999 , 4497.6787109375 , 5.6750826836
19.5998153687 , 0.0301143304 , 5.8239731789 , 0.0049999999 , 4503.1157226563 , 9.0102691650
19.7654342651 , 0.0380674824 , 5.8173999786 , 0.0049999999 , 4504.3779296875 , 6.2199263573
19.6029510498 , 0.0542664938 , 5.8053793907 , 0.0049999999 , 4496.7084960938 , 7.6772637367
19.7346954346 , 0.0748057738 , 5.7993226051 , 0.0049999999 , 4512.7763671875 , 7.8602948189
19.8162517548 , 0.0521178544 , 5.7946038246 , 0.0049999999 , 4515.1069335938 , 6.5433788300
19.7560234070 , 0.0574469157 , 5.8036656380 , 0.0049999999 , 4501.0600585938 , 8.8908367157
19.6876430511 , 0.0429294743 , 5.8134093285 , 0.0049999999 , 4498.3007812500 , 5.4050831795
19.6336936951 , 0.0774894580 , 5.8238878250 , 0.0049999999 , 4496.1689453125 , 7.3295912743
